,n = 1000000,n = 10000000,n = 100000000,,
init_dict_1,0.6257,5.7798,59.2736,,
,0.6256,6.1756,61.7922,,
,0.6460,5.9317,61.8129,,
init_dict_2,0.5423,5.0909,52.0958,,
,0.5207,5.0802,52.4487,,
,0.5229,5.2342,53.2635,,
init_dict_3,0.6844,7.0104,85.0599,,
,0.6863,6.7662,83.3859,,
,0.6831,6.6605,83.0040,,
init_dict_4,0.9959,9.5625,112.8830,,
,0.9988,9.5109,112.2884,,
,1.0032,9.5941,114.3306,,
,,,,,
mean,,,,,
init_dict_1,0.632433333333333,5.96236666666667,60.9595666666667,,
init_dict_2,0.528633333333333,5.1351,52.6026666666667,,
init_dict_3,0.6846,6.81236666666667,83.8166,,
init_dict_4,0.9993,9.55583333333333,113.167333333333,,
var,,,,,
init_dict_1,0.000138043333333333,0.0398697433333334,2.13196982333333,,
init_dict_2,0.000141293333333333,0.00739423000000004,0.358660123333335,,
init_dict_3,0.00000258999999999997,0.0322060233333333,1.19580806999999,,
init_dict_4,0.0000135100000000003,0.00176389333333333,1.10327929333334,,
,,,,,
times faster,,,,mean,variance
init_dict_1,1,1,1,1,0
init_dict_2,1.19635538180213,1.16110040051151,1.15886837169218,1.17210805133528,0.000442195264239261
init_dict_3,1.45968448729185,1.40271858531788,1.35017804746713,1.40419370669229,0.00299954707807322
init_dict_4,1,1,1,1,0
