,n = 1000000,n = 10000000,n = 100000000,,
list_compr_1,0.3141,3.0992,32.1922,,
,0.3117,3.3046,31.3492,,
,0.3082,3.0699,31.2685,,
list_compr_2,0.1987,1.9794,20.1533,,
,0.1989,1.9799,20.1434,,
,0.2004,1.9909,20.1657,,
list_compr_3,0.3568,3.5216,35.5186,,
,0.3569,3.5256,35.4580,,
,0.3559,3.5167,35.5745,,
,,,,,
,,,,,
,,,,,
,,,,,
mean,,,,,
list_compr_1,0.311333333333333,3.1579,31.6033,,
list_compr_2,0.199333333333333,1.9834,20.1541333333333,,
list_compr_3,0.356533333333333,3.5213,35.5170333333333,,
,,,,,
var,,,,,
list_compr_1,0.00000880333333333338,0.01635529,0.26173053,,
list_compr_2,0.000000863333333333338,0.000042249999999999,0.000124843333333347,,
list_compr_3,0.000000303333333333337,0.0000198699999999986,0.00339490333333345,,
,,,,,
,,,,,
times faster,,,,mean,variance
list_compr_1,1,1,1,1,0
list_compr_2,1.561872909699,1.59216496924473,1.56808032760856,1.5740394021841,0.000256035145228169
list_compr_3,0.87322363500374,0.896799477465709,0.889806862622723,0.886609991697391,0.000146620074732823
