,n = 1000000,n = 10000000,n = 100000000,,
string_subst_1,0.0668,0.6703,6.5617,,
,0.0673,0.6696,6.5648,,
,0.0679,0.6739,6.5610,,
string_subst_2,0.6585,6.6560,74.7079,,
,0.6580,6.6160,74.4548,,
,0.6630,6.7739,75.4903,,
string_subst_3,0.0660,0.7254,6.5625,,
,0.0679,0.6669,6.6457,,
,0.0666,0.6694,6.5539,,
,,,,,
,,,,,
,,,,,
,,,,,
mean,,,,,
string_subst_1,0.0673333333333333,0.671266666666667,6.5625,,
string_subst_2,0.659833333333333,6.68196666666667,74.8843333333333,,
string_subst_3,0.0668333333333333,0.687233333333333,6.58736666666667,,
,,,,,
var,,,,,
string_subst_1,0.000000303333333333335,0.00000532333333333352,0.00000408999999999994,,
string_subst_2,0.00000758333333333342,0.00673880333333339,0.291411603333335,,
string_subst_3,0.000000943333333333331,0.00109408333333333,0.00257057333333333,,
,,,,,
,,,,,
times faster,,,,mean,variance
string_subst_1,1,1,1,1,0
string_subst_2,0.10204597120485,0.100459445572411,0.0876351528802197,0.0967135232191603,0.0000624418719038127
string_subst_3,1.0074812967581,0.976766745889315,0.996225097535181,0.993491046727534,0.000241452184131971
